date,content,category,label
12-06-2025,"""خونا حمزة خنشار (الحفّاف) دار أكسيدون ومات. لخبر لي يوجّع لحق ليماه المسكينة، ربي يشافيها.""",Social,fake
4-10-2025,الصحفي عبد العالي مزغيش راهو يأكد: خبر وفاة الفنانة بيونة.,Social,fake
2-09-2024,الفنان عمر ثايري مات، الله يرحمو.,Social,fake
21-01-2025,"""كاسنوس"" راح يبدا يتبع قضائيا الناس اللي دّاو الدعم من ""لونساج"".",Economy,fake
14-09-2025,التلفزيون الجزائري راه يتفاوض مع تطبيق stazplay باش يشري حقوق الدوري الإيطالي.,Sports,fake
02-07-2025,منحة تاع النسا اللي قاعدين في الدار راهي خرجت في الجورنال الرسمي في العدد 37 تاع 15 جوان 2025.,Economy,fake
28-05-2025,الفنانة السورية الكبيرة منى واصف (83 سنة)، الله يرحمها، ماتت البارح بعد ما عانت مع المرض.,Social,fake
24-06-2025,"""الجثة اللي لقاوها في قسنطينة طلعت تاع الطفلة لي كانت ضايعة، مروة بوغشاش.""",Social,fake
5-12-2025,ليوم هشام بوقفة دارها و دخل القفص الذهبي.,Social,fake
11-08-2025,المدربة تاع حوت الأوركا اللي اسمها جسيكا رادكليف ماتت في حادث.,Social,fake
3-07-2025,هذا السيد هو اللي قتل الطفلة مروة، وراهو شادوه.,Judiciary,fake
31-08-2025,الشيفور تاع الكار اللي دار حادث في واد الحراش راه مات.,Social,fake
5-02-2025,بلماضي (غوارديولا الجزائر) راح يبدا يدرب فريق العين الإماراتي الشهر الجاي.,Sports,fake
6-09-2025,الدكتورة شيماء وليد، طبيبة قلب شابة، ماتت مور عملية جراحية دامت 5 سوايع.,Social,fake
29-08-2025,التسجيل لموسم الحج 2025 راهو تفتح في الجزائر.,Social,fake
26-09-2024,نحّاو مدير مطار هواري بومدين، مختار مديوني، مور ما دار غلطة واعرة.,Politics,fake
27-05-2025,طيحة طيارة موريتانية و ماتو 220 حاج كانوا رايحين للبقاع المقدسة.,Social,fake
9-07-2024,الخَلصة اللولة تاع عدل 3 تكون شهرين مورا ما تكونفيرمي التسجيل.,Economy,fake
28-06-2024,رياض محرز، اللعب الجزائري دار ڤاكسيدون كبير في لونڨلتير، وداوه للسبيطار.,Sports,fake
5-02-2024,فيديو يبين الجامع الأعظم وهو يحترق.,Social,fake
7-06-2024,أب ذبح بنتو من الوريد للوريد في مدينة أريس.,Social,fake
15-10-2024,تونس نحات جواز السفر على الجزائريين، ودوك أي جزائري يقدر يسافر بتذكرة الهوية برك.,Politics,fake
1-11-2025,غوغل نحات الخط الفاصل بين المغرب والصحراء الغربية.,Politics,fake
13-09-2025,وفاة 8 أشخاص في حادث كبير خلال حفل زفاف بولاية سطيف.,Social,fake
29-08-2025,نحّاو الوزير الأول وعيّنوا سي سيفي غريب وزير أول بالنيابة.,Politics,fake
18-08-2025,"وزيرة التضامن قالت: ""100 مليون تكفي للعائلات اللي فقدت واحد في حادثة الحراش على خاطر مساكن.""",Politics,fake
25-06-2025,"إعلان نتائج شهادة التعليم المتوسط ""البيام"" راح يكون يوم الخميس 27 جوان.",Education,fake
21-06-2025,كارثة صرات في بكالوريا 2025.,Education,fake
17-06-2025,قتل ضباط جزائريين في إيران بعد ما تضرب مقر تاع الحرس الثوري الإيراني.,Politics,fake
27-05-2025,طيارة كانت دّي حجّاج موريطانيين طاحت في البحر الأحمر وماتو كاع اللي كانوا فيها (220 حاج).,Social,fake
17-05-2025,"""البرلماني عبد القادر بريش طلب من وزير الخارجية يطلب تدخل سوريا باش يطلقو سراح ""جزايريين عسكر وبوليساريو لي راهم حاكمينهم"".",Politics,fake
14-05-2025,واحد سخف كلبو على دري صغير وخلعو في حومة من حومات وهران.,Judiciary,fake
9-05-2025,جامعة الشلف منعت الأساتذة باش يهدروا مع وسائل الإعلام الدولية.,Education,fake
18-04-2025,غرق باطو روماني كان معمر بالكباش المستوردة وهو جاي للجزائر.,Economy,fake
12-02-2025,وزارة الخارجية الجزائرية نشرت خريطة ماكانش فيها الحدود تاع المغرب مع الصحرا الغربية.,Politics,fake
12-01-2025,طاحت طيارة تاع مطافية كانت تسيي تطفّي في النار في لوس أنجلوس.,Social,fake
9-01-2025,موريتانيا فرضت الفيزا (التأشيرة) على الجزائريين.,Politics,fake
7-01-2025,شركة جيلي الجزائر أعلنت الإفلاس ولغات جميع الطلبات تاع الزبائن.,Economy,fake
20-12-2025,وزارة الصحة قررت تفرّض غرامة خشينة على أي واحد ما يديرش ماسك في لبلايص العمومية، بداية من السمانة الجاية.,Health,fake
5-01-2026,الزيتون هاد العام فسد كااامل بسباب مرض غريب جامي صرا. الزيت راهو رايح يلحق 3000 دج للتر!,Economy,fake
1-02-2026,الحكومة راهي توجد باش تنحي الدعم على السكر والزيت ابتداءً من مارس 2026.,Economy,fake
10-Mar-2026,: حبسوا المدير العام تاع سوناطراك الجديدة في حكاية فساد كبيرة!,Politics,fake
25-Apr-2026,مورا الاجتماع اللخراني، قرروا ينحّو ديڤوت الرخصة تاع المجاهد على ولاد لولاد بالكلية.,Politics,fake
3-May-2026,خبر شباب! علي بن شيخ رجع للمنتخب الوطني كمدير رياضي جديد!,Sports,fake
18-Jun-2026,بان باللي كاين عين سخونة تشفي من كل داء في منطقة جبلية في ولاية تيزي وزو.,Health,fake
15-Aug-2026,قالو ما تشربوش ماء تاع الروبيني في العاصمة، صرا تلوث خطير ماكانش على بالنا بيه!,Health,fake
9-Sep-2026,الوزارة تاع الدفاع راهي تعيط للشباب اللي دارو لافيست باش يفوتو السيرفيس ناسيونال ابتداءً من 1 أكتوبر.,Politics,fake
22-Oct-2026,شركة سامسونغ العالمية قررت تدير مصنع كبير تاعها في ولاية سطيف وراح توظف 5000 خدّام.,Economy,fake
4-Nov-2026,: نتائج تاع البيام راح يخرجو اليوم على الساعة 11 تاع الليل!,Education,fake
1-Dec-2026,ممنوع على حتى واحد يدخل بورتابل جديد معاه في الفاليز، لازم يكون مخلص عليه الضريبة!,Economy,fake
13-Jan-2027,اللاعب بلال براهيمي دار حالة كبيرة مع المدرب تاعو في نيس و راهو رايح يفسخ الكونطرا!,Sports,fake
26-Feb-2027,: الوالي تاع ولاية وهران حبسوه الليلة بتهمة تبزنيس الدراهم تاع الشعب.,Politics,fake
10-Mar-2027,صالح أوقروت، الكوميدي المشهور، راهو في حالة خطيرة في السبيطار في فرنسا!,Health,fake
6-May-2027,: كل اللي عندهم سكنات عدل لازم يديرو ملف جديد باش يثبتو الإقامة تاعهم، وإلا راح يتنحا عليهم السكن!,Social,fake
19-Jun-2027,: هاد الأيام راهي تنتشر سرقة السيارات في العاصمة عن طريق عصابات تستعمل المخدرات باش تخدر الناس!,Social,fake
1-Jul-2027,: الحكومة قررت تقدم موعد عيد الأضحى بثلاثة أيام لأسباب تنظيمية!,Social,fake
